developer_id,full_name,team_id,seniority,commit_count,pr_count,issues_resolved,reviews_given,workload_index,reopen_rate,engineering_productivity_score
D0039,Elizabeth Fowler,T005,Senior,510.0,113.0,107.0,158.0,1063.0,0.18055555555555555,74.8
D0051,Jessica Holmes,T005,Staff,514.0,108.0,114.0,164.0,1066.0,0.2112676056338028,74.3
D0028,Stephanie Ross,T005,Junior,484.0,117.0,95.0,157.0,1025.0,0.17777777777777778,74.2
D0011,Monica Herrera,T005,Senior,495.0,104.0,112.0,131.0,1031.0,0.19047619047619047,71.0
D0004,Daniel Wagner,T006,Senior,354.0,90.0,76.0,144.0,776.0,0.16279069767441862,70.0
D0030,Anthony Rodriguez,T006,Junior,377.0,87.0,76.0,143.0,790.0,0.14634146341463414,69.9
D0050,Eric Carney,T006,Staff,364.0,80.0,67.0,128.0,738.0,0.08108108108108109,69.4
D0019,Lisa Jackson,T006,Junior,330.0,92.0,77.0,105.0,760.0,0.14285714285714285,67.1
D0016,Brian Ramirez,T005,Staff,479.0,99.0,79.0,165.0,934.0,0.2553191489361702,66.9
D0026,Judy Baker,T006,Junior,370.0,86.0,69.0,143.0,766.0,0.2,66.2
D0006,Connie Lawrence,T006,Mid,386.0,84.0,64.0,122.0,766.0,0.19047619047619047,62.9
D0042,Fred Smith,T006,Junior,344.0,97.0,72.0,132.0,779.0,0.30303030303030304,62.0
D0022,Patty Perez,T004,Junior,159.0,37.0,38.0,71.0,346.0,0.05,58.9
D0034,Nathan Maldonado,T004,Senior,142.0,36.0,25.0,64.0,300.0,0.05263157894736842,56.1
D0002,Noah Rhodes,T004,Mid,178.0,34.0,31.0,47.0,342.0,0.045454545454545456,54.5
D0012,Jamie Arnold,T004,Junior,169.0,41.0,28.0,45.0,348.0,0.08333333333333333,52.9
D0014,Michele Williams,T004,Senior,174.0,35.0,31.0,50.0,341.0,0.09523809523809523,52.6
D0053,Crystal Robinson,T008,Mid,131.0,28.0,19.0,41.0,253.0,0.0,52.5
D0035,Debra Davidson,T004,Mid,162.0,31.0,27.0,33.0,309.0,0.05555555555555555,51.7
D0041,Paula Moreno,T008,Senior,129.0,24.0,20.0,40.0,241.0,0.0,51.6
D0003,Angie Henderson,T007,Junior,165.0,40.0,24.0,53.0,333.0,0.13333333333333333,50.8
D0032,James Ferrell,T004,Staff,152.0,45.0,34.0,60.0,355.0,0.2,50.6
D0055,Shannon Jones,T007,Mid,175.0,33.0,28.0,74.0,330.0,0.1875,50.2
D0029,Zachary Hicks,T004,Junior,162.0,25.0,38.0,67.0,313.0,0.1875,50.0
D0018,Derek Zuniga,T007,Senior,197.0,33.0,23.0,59.0,342.0,0.13333333333333333,49.9
D0005,Cristian Santos,T004,Mid,148.0,34.0,36.0,28.0,322.0,0.125,49.5
D0048,Shane Henderson,T004,Senior,159.0,38.0,27.0,51.0,327.0,0.16666666666666666,49.2
D0049,Joshua Blair,T004,Junior,159.0,28.0,28.0,24.0,299.0,0.07692307692307693,49.1
D0031,Rebecca Henderson,T007,Senior,200.0,40.0,37.0,52.0,394.0,0.2,48.5
D0052,Danny Morgan,T004,Senior,154.0,27.0,25.0,44.0,285.0,0.13333333333333333,47.7
D0037,Sherri Baker,T003,Junior,102.0,23.0,23.0,44.0,217.0,0.09090909090909091,47.4
D0038,Cassandra Gaines,T004,Junior,158.0,37.0,32.0,58.0,333.0,0.23529411764705882,47.2
D0013,Lisa Hensley,T003,Senior,111.0,26.0,22.0,21.0,233.0,0.07142857142857142,46.3
D0058,Richard Aguirre,T004,Senior,157.0,36.0,29.0,51.0,323.0,0.23529411764705882,45.9
D0054,Mark Perez,T003,Mid,119.0,26.0,19.0,28.0,235.0,0.1,45.2
D0023,Ethan Adams,T007,Senior,158.0,43.0,24.0,42.0,335.0,0.23076923076923078,45.1
D0045,Angelica Tucker,T008,Mid,124.0,27.0,17.0,29.0,239.0,0.1111111111111111,44.7
D0020,Carla Gray,T004,Staff,156.0,35.0,26.0,43.0,313.0,0.23529411764705882,44.4
D0015,Dylan Miller,T003,Mid,128.0,21.0,16.0,38.0,223.0,0.125,43.5
D0024,Tommy Walter,T003,Mid,104.0,26.0,24.0,31.0,230.0,0.16666666666666666,43.0
D0010,Ryan Munoz,T008,Mid,114.0,24.0,11.0,30.0,208.0,0.1111111111111111,42.6
D0057,Timothy Duncan,T003,Junior,130.0,28.0,25.0,42.0,264.0,0.25,41.4
D0040,Brittany Farmer,T008,Senior,97.0,24.0,24.0,18.0,217.0,0.2,39.2
D0007,Abigail Shaffer,T004,Junior,183.0,27.0,36.0,53.0,336.0,0.36363636363636365,39.1
D0059,Brent Jordan,T003,Mid,111.0,25.0,20.0,46.0,226.0,0.2857142857142857,37.9
D0056,Michael Lewis,T001,Senior,0.0,0.0,0.0,0.0,0.0,0.0,34.1
D0021,Margaret Hawkins DDS,T002,Mid,0.0,0.0,0.0,0.0,0.0,0.0,34.1
D0027,Justin Baker,T002,Staff,0.0,0.0,0.0,0.0,0.0,0.0,34.1
D0009,Gabrielle Davis,T001,Staff,0.0,0.0,0.0,0.0,0.0,0.0,34.1
D0008,Gina Moore,T002,Senior,0.0,0.0,0.0,0.0,0.0,0.0,34.1
D0017,Holly Wood,T001,Senior,0.0,0.0,0.0,0.0,0.0,0.0,34.1
D0025,Matthew Foster,T001,Mid,0.0,0.0,0.0,0.0,0.0,0.0,34.1
D0060,John Daniel,T001,Junior,0.0,0.0,0.0,0.0,0.0,0.0,34.1
D0044,Anthony Humphrey,T001,Junior,0.0,0.0,0.0,0.0,0.0,0.0,34.1
D0033,Tricia Valencia,T001,Mid,0.0,0.0,0.0,0.0,0.0,0.0,34.1
D0043,Sherry Decker,T002,Junior,0.0,0.0,0.0,0.0,0.0,0.0,34.1
D0047,John Pierce,T003,Senior,114.0,31.0,22.0,39.0,251.0,0.38461538461538464,34.1
D0036,Jeffrey Chavez,T008,Junior,113.0,17.0,14.0,57.0,192.0,0.3333333333333333,33.7
D0001,Allison Hill,T008,Junior,129.0,26.0,13.0,38.0,233.0,0.42857142857142855,28.9
D0046,Philip Cannon,T008,Junior,131.0,26.0,19.0,29.0,247.0,0.5,25.6
